20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
115.7,117.1,61.4,50.4,72.4
87.1,76.3,73.3,72.6,57.2
279.1,68.6,62.6,67.4,41.6
68.6,127.8,58.7,49.6,43.5
96.3,80.1,102.0,58.2,82.8
97.5,75.1,75.7,71.3,50.6
83.5,74.0,56.5,46.0,47.5
63.7,97.3,77.4,58.6,73.7
115.1,85.4,88.3,72.4,51.6
110.8,59.3,73.8,82.3,58.2
104.5,116.2,66.7,53.7,53.3
156.1,95.2,87.5,64.0,67.0
261.2,129.4,62.9,52.9,59.1
83.9,61.3,59.8,56.3,54.0
110.6,85.8,66.0,51.6,56.3
105.7,105.5,70.7,48.2,40.6
137.4,89.4,85.3,58.3,48.9
124.8,92.5,45.9,52.6,37.7
175.2,104.4,84.9,58.7,53.2
110.5,61.6,61.0,39.2,31.3
184.9,77.9,70.5,63.6,48.7
74.2,63.8,61.1,71.9,49.1
58.6,78.9,68.1,57.1,39.8
74.5,69.8,65.8,97.4,53.1
61.1,98.0,81.0,48.0,37.6
101.2,79.8,78.0,52.8,59.0
62.8,65.6,69.5,58.8,45.0
116.3,92.3,85.6,55.0,36.3
142.8,166.0,69.4,64.6,66.4
107.7,122.6,98.3,56.1,35.6
72.8,75.1,78.6,119.3,46.8
113.1,85.0,63.7,75.7,52.0
79.9,85.3,50.2,64.6,56.4
104.3,71.3,69.6,95.8,75.0
106.7,77.7,97.9,41.8,44.5
101.8,125.4,61.4,48.0,20.5
90.2,99.4,67.5,53.2,73.2
64.9,96.9,58.1,48.9,38.0
191.4,77.1,67.7,49.5,42.3
81.8,154.8,87.7,54.3,51.5
91.4,114.7,61.5,73.0,61.0
169.1,92.6,56.1,55.5,49.8
127.6,64.3,86.3,40.9,66.3
175.2,115.2,57.0,57.1,53.7
92.8,118.6,41.5,65.7,54.3
90.5,116.7,37.7,78.2,43.7
137.3,121.4,96.9,58.3,36.2
83.7,62.6,53.6,50.9,46.8
167.4,92.8,63.2,74.0,21.9
204.6,78.3,62.3,56.2,40.9
67.6,142.2,74.8,84.5,58.8
83.1,94.3,57.8,61.9,81.9
103.7,96.2,62.7,56.1,49.5
103.5,78.5,82.0,41.6,52.0
88.6,97.6,61.3,70.8,70.1
61.3,73.4,69.4,71.4,51.2
82.1,104.0,104.2,47.7,51.0
56.3,113.3,76.3,60.6,33.8
93.0,85.6,90.1,43.3,63.0
120.0,109.2,64.4,60.6,28.9
140.9,60.8,119.0,63.4,26.2
173.2,95.0,55.4,63.3,98.0
117.9,85.5,83.5,66.0,42.3
112.7,61.4,39.7,47.5,67.3
117.0,146.1,90.7,54.6,41.4
151.4,105.7,84.0,109.5,41.3
119.9,73.3,52.6,57.9,36.2
125.2,107.9,63.3,34.2,66.4
241.5,72.0,80.3,75.3,41.7
122.8,75.8,69.6,40.6,46.8
72.5,108.9,73.0,44.8,70.8
119.5,92.8,73.6,44.9,51.5
99.3,120.0,71.5,71.2,55.5
143.9,54.8,59.9,36.1,54.2
116.7,113.7,74.1,46.5,41.8
79.6,87.0,54.3,52.8,48.6
148.1,65.9,48.9,51.2,33.9
75.9,148.8,71.8,53.9,44.6
80.8,114.8,71.7,54.6,29.5
91.6,85.2,73.7,35.8,55.4
217.5,86.3,62.3,44.2,28.9
111.6,100.3,66.5,74.3,50.1
83.0,74.2,95.9,55.4,74.6
79.8,94.1,63.2,66.7,40.8
94.1,126.7,77.9,85.2,47.2
103.8,72.2,72.9,68.9,49.9
159.2,62.4,60.8,57.6,47.4
74.9,136.7,56.4,54.4,57.6
167.3,87.8,81.7,38.8,73.3
117.8,68.0,74.6,61.5,52.6
143.5,128.7,143.6,56.4,69.2
83.1,89.2,61.8,78.1,48.5
113.3,160.3,82.3,61.5,33.6
99.6,46.4,60.5,69.8,47.2
110.0,79.5,106.1,55.3,55.2
106.4,104.1,64.7,51.0,67.7
104.5,78.0,51.4,96.8,29.7
105.7,67.7,68.3,52.3,50.4
125.2,116.9,71.6,66.5,35.2
136.5,64.6,115.9,50.0,56.0
85.5,89.3,83.6,77.7,51.8
126.8,122.0,66.2,56.0,42.5
115.4,69.7,75.3,86.0,51.2
93.1,91.6,82.1,41.3,51.9
72.9,73.0,51.5,44.8,37.8
98.7,79.8,60.7,38.9,48.0
154.3,80.2,53.9,56.9,36.7
132.6,75.2,49.3,36.7,34.1
97.3,82.6,61.9,53.0,58.6
146.0,166.4,76.2,60.6,37.1
133.6,102.3,106.7,47.9,68.9
152.9,127.1,50.6,48.7,54.2
152.0,77.0,85.1,56.7,67.0
71.5,119.6,63.9,61.5,67.0
76.7,72.2,71.1,72.4,42.9
176.5,50.9,75.7,60.5,64.4
144.9,99.5,55.0,53.4,57.0
127.9,134.3,100.1,55.9,45.4
77.3,89.2,116.2,55.5,47.8
106.9,47.7,89.1,55.0,37.4
73.5,93.6,60.4,67.7,59.3
88.9,109.8,74.8,46.6,38.4
122.8,77.1,67.3,60.4,53.9
89.9,63.7,77.2,34.0,74.7
157.1,107.7,52.5,62.1,54.7
116.3,113.3,83.1,48.8,54.9
75.7,118.5,65.1,42.6,49.7
167.9,92.3,58.5,64.2,44.1
96.6,79.0,52.2,84.9,50.3
147.6,86.4,73.6,63.4,40.2
136.8,84.0,52.0,19.6,34.4
133.4,97.3,99.1,64.4,39.8
111.1,94.2,62.8,51.8,56.2
189.2,94.3,98.4,50.7,58.8
90.0,81.0,46.4,48.8,38.2
116.2,83.6,72.4,66.0,32.7
37.7,118.6,121.7,65.8,36.7
113.0,82.4,80.8,56.4,59.3
