20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
118.3,55.2,49.9,59.5,22.6
120.1,100.1,109.9,54.0,41.5
107.5,81.4,74.5,57.4,13.4
66.3,109.4,62.8,32.7,17.4
83.6,57.4,98.7,61.2,20.3
85.8,102.6,57.9,64.4,21.9
96.7,109.1,87.5,44.7,14.4
99.9,68.3,69.2,46.8,27.4
81.3,72.4,92.7,50.7,19.4
127.7,92.8,80.6,61.8,29.8
79.4,54.8,82.1,63.0,22.5
84.0,77.2,79.1,75.6,24.4
87.5,72.8,65.8,71.0,41.3
71.4,90.0,74.4,59.3,14.5
81.7,136.0,61.0,54.3,20.7
74.8,61.8,73.9,82.7,11.2
24.0,75.9,92.4,77.5,13.2
195.1,74.0,66.6,67.7,19.8
101.7,94.8,48.6,59.5,30.6
140.8,62.3,35.7,57.1,20.5
50.2,123.0,33.1,31.7,16.6
135.6,113.9,42.3,53.9,24.2
120.9,36.8,70.6,45.3,46.3
131.5,93.7,119.9,64.6,21.1
106.5,118.1,68.7,53.7,18.8
98.8,34.5,44.1,64.5,17.9
133.9,91.9,79.1,37.6,28.2
78.0,81.4,68.1,70.9,28.0
123.3,35.4,53.8,23.4,35.4
198.9,81.3,77.7,70.3,17.2
91.1,58.7,83.5,47.9,22.2
113.3,114.1,58.4,50.6,49.9
102.7,82.0,64.9,56.1,18.8
76.3,105.0,71.4,53.3,17.6
77.4,51.8,52.0,54.2,14.0
73.5,100.3,70.7,62.1,41.8
134.3,124.1,77.9,55.6,24.8
141.6,55.5,68.5,26.8,29.3
114.9,134.0,78.1,68.4,30.0
86.3,93.4,62.8,57.2,13.4
140.7,94.2,47.4,29.0,17.1
113.9,81.4,98.4,76.8,20.8
115.5,86.8,39.8,45.5,14.9
124.9,103.0,71.8,63.3,16.2
104.4,99.8,77.5,77.6,27.2
71.9,118.3,78.0,69.8,25.3
72.8,128.6,71.2,35.3,22.2
103.8,81.3,80.6,37.4,22.9
77.1,78.8,82.0,36.1,14.7
102.7,89.3,50.3,66.1,15.7
48.4,92.3,70.1,45.9,15.8
113.2,85.6,122.4,54.8,23.8
91.1,72.0,48.8,54.3,36.0
142.1,71.2,88.4,58.3,19.4
78.6,92.3,103.3,54.5,33.3
106.7,84.6,88.9,33.6,20.4
76.8,99.4,40.1,50.8,16.3
19.3,134.2,76.2,60.9,31.4
91.1,64.2,80.4,66.8,21.2
85.1,53.4,57.9,42.2,26.9
94.8,62.5,64.7,59.9,24.8
90.2,41.7,63.6,50.5,18.4
94.9,77.2,62.5,65.2,25.4
97.2,37.5,42.3,36.1,36.9
74.3,80.0,87.4,54.1,36.7
84.7,84.5,62.7,45.0,33.5
70.3,99.9,72.9,57.4,26.0
132.7,68.0,64.5,44.9,19.3
72.8,70.6,26.2,31.7,47.7
84.4,81.0,68.7,75.8,23.3
211.0,68.0,88.8,44.1,61.9
90.6,90.1,52.5,36.8,14.5
124.0,50.1,61.2,43.0,15.4
47.3,88.1,37.2,46.2,28.4
88.3,96.5,67.3,39.3,24.7
114.5,87.1,67.2,61.4,25.7
145.5,60.7,56.4,58.5,39.8
128.7,62.1,73.1,33.5,13.5
136.7,65.1,38.0,92.6,23.4
57.1,69.3,46.7,33.3,15.9
100.0,82.3,58.7,46.9,34.4
83.8,94.2,44.8,59.3,29.7
135.4,89.7,76.2,72.8,44.4
74.9,142.6,71.5,66.5,24.7
109.1,119.5,57.6,47.1,31.3
130.8,100.3,69.2,43.0,16.6
99.2,85.7,93.5,52.2,29.1
71.8,65.4,45.5,66.6,23.5
105.9,132.4,69.9,65.8,38.5
77.6,93.3,75.2,46.7,18.8
81.2,74.5,60.2,55.8,11.8
112.3,109.0,96.6,60.1,32.0
144.5,53.3,58.4,34.4,31.5
78.3,140.9,73.2,65.9,45.1
72.3,74.8,63.4,64.4,38.4
83.1,63.4,73.6,41.5,23.1
98.7,72.2,51.8,43.3,26.7
96.4,32.8,64.8,68.8,34.3
